`#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2019 03 22 13 00  2.0  1.9 16.0  0.7  5.6 WNW  SW      SWELL  8.0 301
2019 03 22 12 00  2.1  2.0 14.8  0.6  5.0   W  SW      SWELL  8.4 273
2019 03 22 11 00  2.0  1.9 16.0  0.6  5.3 WNW  SW      SWELL  8.4 283
2019 03 22 10 00  2.2  2.1 16.0  0.5  4.5 WNW  SW      SWELL  8.7 286
2019 03 22 09 00  2.1  2.1 16.0  0.5  4.3   W  SW      SWELL  8.6 269
2019 03 22 08 00  1.9  1.9 17.4  0.4  3.7 WNW  SW      SWELL  8.0 296
2019 03 22 07 00  2.0  2.0 17.4  0.4  4.3 WNW SSW      SWELL  8.3 293
2019 03 22 06 00  2.2  2.2 17.4  0.4  3.8   W SSW      SWELL  9.0 273
2019 03 22 05 00  2.0  1.9 17.4  0.4  3.8 WNW SSW      SWELL  8.0 293
2019 03 22 04 00  2.3  2.3 17.4  0.4  4.0 WNW SSW      SWELL  8.7 299
2019 03 22 03 00  2.1  2.1 19.0  0.4  3.6 WNW  SW      SWELL  8.2 297
2019 03 22 02 00  1.8  1.8 19.0  0.4  3.8 WNW  SW      SWELL  7.7 289
2019 03 22 01 00  1.9  1.8 19.0  0.4  3.7 WNW  SW      SWELL  7.7 288
2019 03 22 00 00  1.8  1.8 19.0  0.4  3.8  NW SSW      SWELL  7.6 315
2019 03 21 23 00  1.8  1.7 10.8  0.5  4.0 WSW SSW      SWELL  7.4 252
2019 03 21 22 00  1.8  1.7 12.9  0.6  4.2 WSW SSW      SWELL  7.2 243
2019 03 21 21 00  1.7  1.6 12.1  0.6  4.8   W SSW      SWELL  7.2 280
2019 03 21 20 00  1.9  1.8 12.1  0.6  3.8 WSW   S      SWELL  7.4 245
2019 03 21 19 00  1.9  1.8 12.9  0.7  5.3   W  SW      SWELL  7.3 270
2019 03 21 18 00  1.9  1.8 10.8  0.6  3.7   W SSW      SWELL  7.1 261
2019 03 21 17 00  1.9  1.8 10.8  0.6  3.6   W   S      SWELL  7.3 261
2019 03 21 16 00  2.1  2.0 10.8  0.6  5.6 WSW  SW      SWELL  7.9 251
2019 03 21 15 00  2.0  1.9 12.9  0.5  5.0 WNW  SW      SWELL  8.1 285
2019 03 21 14 00  2.1  2.1 12.9  0.4  3.8   W  SW      SWELL  8.5 265
2019 03 21 13 00  2.0  1.9 10.8  0.5  3.7   W  SW      SWELL  7.9 263
2019 03 21 12 00  2.1  2.1 12.1  0.5  3.6   W SSW      SWELL  8.4 272
2019 03 21 11 00  2.2  2.1 12.1  0.5  5.0   W SSW      SWELL  8.6 261
2019 03 21 10 00  2.0  2.0 13.8  0.5  4.5   W SSW      SWELL  8.4 269
2019 03 21 09 00  2.0  1.9 13.8  0.5  4.3 WSW   S      SWELL  8.3 258
2019 03 21 08 00  2.0  1.9 13.8  0.5  4.0   W   S      SWELL  8.4 264
2019 03 21 07 00  2.0  1.9 13.8  0.5  4.3 WSW   S      SWELL  8.2 249
2019 03 21 06 00  2.0  1.9 12.9  0.5  3.3   W SSW      SWELL  7.9 263
2019 03 21 05 00  2.1  2.0 12.9  0.6  3.4   W   S      SWELL  7.5 271
2019 03 21 04 00  2.0  1.9 12.9  0.8  3.3   W SSW      SWELL  7.2 266
2019 03 21 03 00  2.1  1.9 13.8  0.7  3.3 WNW SSW      SWELL  7.2 287
2019 03 21 02 00  2.1  2.0 12.9  0.6  5.3 WNW  SW      SWELL  7.5 283
2019 03 21 01 00  2.1  2.0 13.8  0.7  6.2   W  SW      SWELL  9.9 274
2019 03 21 00 00  2.2  2.1 13.8  0.3  4.5   W SSW      SWELL  9.5 276
2019 03 20 23 00  2.3  2.3 13.8  0.2  3.8   W SSW      SWELL  9.8 275
2019 03 20 22 00  2.3  2.2 14.8  0.3  3.8   W  SW      SWELL  9.7 275
